BBH 019
UT 2022/04/12 COS/FUV G140L
 14115.7 second exposure
16384 points

     Wavelength (A)            Flux (erg/s/cm^2/A)            Flux Err erg/s/cm^2/A()
       16.393414               0.0000000                      0.0000000
       16.458406               0.0000000                      0.0000000
       16.523398               0.0000000                      0.0000000
       16.588390               0.0000000                      0.0000000
       16.653382               0.0000000                      0.0000000
       16.718374               0.0000000                      0.0000000
       16.783366               0.0000000                      0.0000000
       16.848358               0.0000000                      0.0000000
       16.913350               0.0000000                      0.0000000
       16.978342               0.0000000                      0.0000000
       17.043335               0.0000000                      0.0000000
       17.108327               0.0000000                      0.0000000
       17.173319               0.0000000                      0.0000000
